service_key,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies
1,No,No phone service,DSL,No,No,No,No,No,No
2,No,No phone service,DSL,No,No,No,No,No,Yes
3,No,No phone service,DSL,No,No,No,No,Yes,No
4,No,No phone service,DSL,No,No,No,No,Yes,Yes
5,No,No phone service,DSL,No,No,No,Yes,No,No
6,No,No phone service,DSL,No,No,No,Yes,No,Yes
7,No,No phone service,DSL,No,No,No,Yes,Yes,No
8,No,No phone service,DSL,No,No,No,Yes,Yes,Yes
9,No,No phone service,DSL,No,No,Yes,No,No,No
10,No,No phone service,DSL,No,No,Yes,No,No,Yes
11,No,No phone service,DSL,No,No,Yes,No,Yes,No
12,No,No phone service,DSL,No,No,Yes,No,Yes,Yes
13,No,No phone service,DSL,No,No,Yes,Yes,No,No
14,No,No phone service,DSL,No,No,Yes,Yes,No,Yes
15,No,No phone service,DSL,No,No,Yes,Yes,Yes,No
16,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes
17,No,No phone service,DSL,No,Yes,No,No,No,No
18,No,No phone service,DSL,No,Yes,No,No,No,Yes
19,No,No phone service,DSL,No,Yes,No,No,Yes,No
20,No,No phone service,DSL,No,Yes,No,No,Yes,Yes
21,No,No phone service,DSL,No,Yes,No,Yes,No,No
22,No,No phone service,DSL,No,Yes,No,Yes,No,Yes
23,No,No phone service,DSL,No,Yes,No,Yes,Yes,No
24,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes
25,No,No phone service,DSL,No,Yes,Yes,No,No,No
26,No,No phone service,DSL,No,Yes,Yes,No,No,Yes
27,No,No phone service,DSL,No,Yes,Yes,No,Yes,No
28,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes
29,No,No phone service,DSL,No,Yes,Yes,Yes,No,No
30,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes
31,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No
32,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
33,No,No phone service,DSL,Yes,No,No,No,No,No
