customerid,contract_key,payment_method_key,service_key,churn_reason_key,count,tenure_months,monthly_charges,total_charges,churn_value,churn_score,cltv,is_churned,is_month_to_month,revenue_at_risk
3668-QPYBK,2,4,113,4,1,2,53.85,108.15,1,86,3239,True,True,53.85
9237-HQITU,2,3,129,14,1,2,70.7,151.65,1,67,2701,True,True,70.7
9305-CDSKC,2,3,269,14,1,8,99.65,820.5,1,86,5372,True,True,99.65
7892-POOKP,2,3,273,14,1,28,104.8,3046.05,1,84,5003,True,True,104.8
0280-XJGEX,2,1,285,3,1,49,103.7,5036.3,1,89,5340,True,True,103.7
4190-MFLUW,1,2,77,5,1,10,55.2,528.35,1,78,5925,True,True,55.2
8779-QRDMV,2,3,10,6,1,1,39.65,39.65,1,100,5433,True,True,39.65
1066-JKSGK,1,4,193,4,1,1,20.15,20.15,1,92,4832,True,True,20.15
6467-CHFZW,2,3,277,3,1,47,99.35,4749.15,1,77,5789,True,True,99.35
8665-UTDHZ,1,3,17,3,1,1,30.2,30.2,1,97,2915,True,True,30.2
8773-HHUOZ,2,4,68,5,1,17,64.7,1093.1,1,74,3022,True,True,64.7
6047-YHPVI,2,3,129,5,1,5,69.7,316.9,1,66,2454,True,True,69.7
5380-WJKOV,2,3,285,5,1,34,106.35,3549.25,1,65,2941,True,True,106.35
8168-UQWWF,2,1,269,6,1,11,97.85,1105.4,1,70,5674,True,True,97.85
7760-OYPDY,2,3,131,6,1,2,80.65,144.15,1,90,5586,True,True,80.65
9420-LOJKX,2,2,180,6,1,15,99.1,1426.4,1,82,2966,True,True,99.1
7495-OOKFY,2,2,274,4,1,8,80.65,633.3,1,69,5302,True,True,80.65
1658-BYGOY,2,3,261,4,1,18,95.45,1752.55,1,81,3179,True,True,95.45
5698-BQJOH,1,3,261,19,1,9,94.4,857.25,1,96,5571,True,True,94.4
5919-TMRGD,2,3,131,20,1,1,79.35,79.35,1,87,2483,True,True,79.35
9191-MYQKX,2,1,137,21,1,7,75.15,496.9,1,70,3457,True,True,75.15
8637-XJIVR,2,3,290,11,1,12,78.95,927.35,1,86,5806,True,True,78.95
0278-YXOOG,1,4,193,15,1,5,21.05,113.85,1,66,2604,True,True,21.05
4598-XLKNJ,2,3,156,12,1,25,98.5,2514.5,1,88,5337,True,True,98.5
3192-NQECA,6,1,289,10,1,68,110.0,7611.85,1,86,5034,True,False,110.0
